cobacia,cotrecho,trechosjus,curso_dagua,vazao_incremental,vazao_naturalizada,cabeceira
"7588121",33077,178763,"758812",1,0,False
"7588117",178763,313185,"7588",1,0,False
"7588116",197695,313185,"7588116",1,0,True
"7584919",230664,230796,"7584",1,0,False
"7588115",313185,68617,"7588",1,0,False
"7588114",230162,68617,"7588114",1,0,True
"7588113",68617,18812,"7588",1,0,False
"7588112",305277,18812,"7588112",1,0,True
"7588111",18812,65817,"7588",1,0,False
"75877",65817,277216,"758",1,0,False
"75876",292009,277216,"75876",1,0,True
"75875",277216,277236,"758",1,0,False
"758743",268868,268826,"75874",1,0,True
"758742",299953,268826,"758742",1,0,True
"758741",268826,277236,"75874",1,0,False
"75873",277236,123874,"758",1,0,False
"7584918",234125,230796,"7584918",1,0,True
"75872",293645,123874,"75872",1,0,True
"75871",123874,277234,"758",1,0,False
"7586999",286334,204695,"7586",1,0,True
"7586998",237464,204695,"7586998",1,0,True
"7586997",204695,296247,"7586",1,0,False
"7586996",255214,296247,"7586996",1,0,True
"7586995",296247,286332,"7586",1,0,False
"7586994",282242,286332,"7586994",1,0,True
"75869935",286332,286337,"7586",1,0,False
"75869934",200194,286337,"75869934",1,0,True
"75869933",286337,286336,"7586",1,0,False
"75869932",297265,286336,"75869932",1,0,True
"75869931",286336,286338,"7586",1,0,False
"7586992",235588,286338,"7586992",1,0,True
"75869913",286338,125346,"7586",1,0,False
"75869912",228400,125346,"75869912",1,0,True
"75869911",125346,164856,"7586",1,0,False
"7586987",290202,290198,"758698",1,0,True
"7586986",177854,290198,"7586986",1,0,True
"7586985",290198,168554,"758698",1,0,False
"7586984",301898,168554,"7586984",1,0,True
"7586983",168554,290199,"758698",1,0,False
"7586982",259539,290199,"7586982",1,0,True
"7586981",290199,164856,"758698",1,0,False
"7586973",164856,286331,"7586",1,0,False
"7586972",258462,286331,"7586972",1,0,True
"7586971",286331,70256,"7586",1,0,False
"7586969",317291,317106,"758696",1,0,True
"7586968",227238,317106,"7586968",1,0,True
"7586967",317106,317288,"758696",1,0,False
"7586966",245653,317288,"7586966",1,0,True
"7586965",317288,317290,"758696",1,0,False
"7586964",218471,317290,"7586964",1,0,True
"7586963",317290,317289,"758696",1,0,False
"7586962",296240,317289,"7586962",1,0,True
"7586961",317289,70256,"758696",1,0,False
"7586953",70256,286343,"7586",1,0,False
"7586952",133171,286343,"7586952",1,0,True
"7586951",286343,286341,"7586",1,0,False
"7586949",269430,269431,"758694",1,0,True
"7584917",230796,187286,"7584",1,0,False
"7586948",250782,269431,"7586948",1,0,True
"7586947",269431,269426,"758694",1,0,False
"7586946",248723,269426,"7586946",1,0,True
"7586945",269426,269429,"758694",1,0,False
"7586944",260591,269429,"7586944",1,0,True
"7586943",269429,269419,"758694",1,0,False
"7586942",183784,269419,"7586942",1,0,True
"7586941",269419,286341,"758694",1,0,False
"758693",286341,284922,"7586",1,0,False
"7586925",216307,62281,"758692",1,0,True
"7586924",153320,62281,"7586924",1,0,True
"7586923",62281,39806,"758692",1,0,False
"7586922",280458,39806,"7586922",1,0,True
"7586921",39806,284922,"758692",1,0,False
"7586915",284922,286325,"7586",1,0,False
"75869145",282238,282237,"7586914",1,0,True
"75869144",288887,282237,"75869144",1,0,True
"75869143",282237,49906,"7586914",1,0,False
"75869142",271097,49906,"75869142",1,0,True
"75869141",49906,286325,"7586914",1,0,False
"7586913",286325,58999,"7586",1,0,False
"7586912",257612,58999,"7586912",1,0,True
"7586911",58999,164858,"7586",1,0,False
"758689",263396,263400,"75868",1,0,True
"758688",168206,263400,"758688",1,0,True
"758687",263400,263401,"75868",1,0,False
"758686",281037,263401,"758686",1,0,True
"758685",263401,263393,"75868",1,0,False
"7586843",255824,84451,"758684",1,0,True
"7586842",313418,84451,"7586842",1,0,True
"7586841",84451,263393,"758684",1,0,False
"758683",263393,28566,"75868",1,0,False
"7586823",122346,230925,"758682",1,0,True
"7586822",235183,230925,"7586822",1,0,True
"7586821",230925,28566,"758682",1,0,False
"7586813",28566,263397,"75868",1,0,False
"7586812",240545,263397,"7586812",1,0,True
"7586811",263397,164858,"75868",1,0,False
"758673",164858,286345,"7586",1,0,False
"7586723",208144,298845,"758672",1,0,True
"758669",287855,165617,"75866",1,0,True
"758668",255564,165617,"758668",1,0,True
"7586673",165617,165616,"75866",1,0,False
"7586672",294226,165616,"7586672",1,0,True
"7586671",165616,287851,"75866",1,0,False
"7586665",281854,281855,"758666",1,0,True
"7586664",255280,281855,"7586664",1,0,True
"7586663",281855,203676,"758666",1,0,False
"7586662",240019,203676,"7586662",1,0,True
"7586661",203676,287851,"758666",1,0,False
"758665",287851,287852,"75866",1,0,False
"7586645",287436,120930,"758664",1,0,True
"7586644",228272,120930,"7586644",1,0,True
"7586643",120930,287435,"758664",1,0,False
"7586642",222333,287435,"7586642",1,0,True
"7586641",287435,287852,"758664",1,0,False
"758663",287852,126171,"75866",1,0,False
"758662",243009,126171,"758662",1,0,True
"758661",126171,286344,"75866",1,0,False
"758659",286344,39828,"7586",1,0,False
"758658",262607,39828,"758658",1,0,True
"758657",39828,286326,"7586",1,0,False
"758656",301270,286326,"758656",1,0,True
"758655",286326,286339,"7586",1,0,False
"758654",236798,286339,"758654",1,0,True
"758653",286339,286329,"7586",1,0,False
"758652",306388,286329,"758652",1,0,True
"758651",286329,100735,"7586",1,0,False
"758649",136138,222126,"75864",1,0,True
"758648",250082,222126,"758648",1,0,True
"758647",222126,136140,"75864",1,0,False
"758646",255325,136140,"758646",1,0,True
"758645",136140,222138,"75864",1,0,False
"758644",228691,222138,"758644",1,0,True
"758643",222138,97906,"75864",1,0,False
"758642",227001,97906,"758642",1,0,True
"758641",97906,100735,"75864",1,0,False
"758637",100735,286333,"7586",1,0,False
"758636",286030,286333,"758636",1,0,True
"758635",286333,286327,"7586",1,0,False
"758634",249014,286327,"758634",1,0,True
"758633",286327,286330,"7586",1,0,False
"758632",257344,286330,"758632",1,0,True
"758631",286330,91875,"7586",1,0,False
"7586295",238713,98071,"75862",1,0,True
"7586294",238636,98071,"7586294",1,0,True
"7586293",98071,238712,"75862",1,0,False
"7586292",104990,238712,"7586292",1,0,True
"7586291",238712,9773,"75862",1,0,False
"7586285",266233,158481,"758628",1,0,True
"7586284",286174,158481,"7586284",1,0,True
"7586283",158481,11508,"758628",1,0,False
"7586282",296340,11508,"7586282",1,0,True
"7586281",11508,9773,"758628",1,0,False
"758627",9773,191211,"75862",1,0,False
"75849163",325328,325306,"7584916",1,0,True
"758626",291298,191211,"758626",1,0,True
"758625",191211,238709,"75862",1,0,False
"7586243",272170,272169,"758624",1,0,True
"7586242",265090,272169,"7586242",1,0,True
"7586241",272169,238709,"758624",1,0,False
"7586233",238709,238711,"75862",1,0,False
"7586232",296294,238711,"7586232",1,0,True
"7586231",238711,191187,"75862",1,0,False
"75849132",260219,230802,"75849132",1,0,True
"758622",226088,191187,"758622",1,0,True
"7586213",191187,238710,"75862",1,0,False
"7586212",137065,238710,"7586212",1,0,True
"7586211",238710,91875,"75862",1,0,False
"7586193",91875,114263,"7586",1,0,False
"7586192",228926,114263,"7586192",1,0,True
"7586191",114263,286302,"7586",1,0,False
"758618",214434,286302,"758618",1,0,True
"758617",286302,204696,"7586",1,0,False
"758616",285863,204696,"758616",1,0,True
"758615",204696,286335,"7586",1,0,False
"7586149",223738,23768,"758614",1,0,True
"7586148",227404,23768,"7586148",1,0,True
"7586147",23768,62999,"758614",1,0,False
"7586146",311859,62999,"7586146",1,0,True
"7586145",62999,46087,"758614",1,0,False
"7586144",134113,46087,"7586144",1,0,True
"7586143",46087,223739,"758614",1,0,False
"7586142",276275,223739,"7586142",1,0,True
"7586141",223739,286335,"758614",1,0,False
"7586133",286335,286342,"7586",1,0,False
"7586132",310811,286342,"7586132",1,0,True
"7586131",286342,286328,"7586",1,0,False
"758612",306841,286328,"758612",1,0,True
"7586113",286328,87825,"7586",1,0,False
"7586112",235072,87825,"7586112",1,0,True
"7586111",87825,277234,"7586",1,0,False
"758595",277234,277231,"758",1,0,False
"758594",296852,277231,"758594",1,0,True
"758593",277231,202325,"758",1,0,False
"758592",255470,202325,"758592",1,0,True
"758591",202325,277219,"758",1,0,False
"758589",216288,114096,"75858",1,0,True
"758588",250367,114096,"758588",1,0,True
"758587",114096,125914,"75858",1,0,False
"758586",270533,125914,"758586",1,0,True
"7585857",125914,216289,"75858",1,0,False
"7585856",312336,216289,"7585856",1,0,True
"7585855",216289,184175,"75858",1,0,False
"7585854",261329,184175,"7585854",1,0,True
"7585853",184175,216285,"75858",1,0,False
"7585852",225761,216285,"7585852",1,0,True
"7585851",216285,31666,"75858",1,0,False
"758584",247410,31666,"758584",1,0,True
"758583",31666,216284,"75858",1,0,False
"758582",239477,216284,"758582",1,0,True
"7581681",239030,411019,"758168",1,0,False
"758581",216284,277219,"75858",1,0,False
"758573",277219,173483,"758",1,0,False
"758572",325063,173483,"758572",1,0,True
"758571",173483,277232,"758",1,0,False
"7585693",224761,224756,"75856",1,0,True
"7585692",100165,224756,"7585692",1,0,True
"7585691",224756,52584,"75856",1,0,False
"758568",234877,52584,"758568",1,0,True
"7585675",52584,224763,"75856",1,0,False
"7585674",41225,224763,"7585674",1,0,True
"7585673",224763,50145,"75856",1,0,False
"7585672",264688,50145,"7585672",1,0,True
"7585671",50145,224764,"75856",1,0,False
"7585663",73276,255184,"758566",1,0,True
"7581673",411019,411021,"75816",1,0,False
"7581672",162342,411021,"7581672",1,0,True
"7585662",298265,255184,"7585662",1,0,True
"7585661",255184,224764,"758566",1,0,False
"7585655",224764,107161,"75856",1,0,False
"7585654",215937,107161,"7585654",1,0,True
"7585653",107161,224760,"75856",1,0,False
"7585652",167109,224760,"7585652",1,0,True
"7581671",411021,411026,"75816",1,0,False
"7585651",224760,122224,"75856",1,0,False
"758564",217323,122224,"758564",1,0,True
"7585635",122224,224762,"75856",1,0,False
"7585634",293890,224762,"7585634",1,0,True
"7585633",224762,224755,"75856",1,0,False
"7581669",239429,366432,"758166",1,0,True
"7585632",273347,224755,"7585632",1,0,True
"7585631",224755,224765,"75856",1,0,False
"7585627",227428,71801,"758562",1,0,True
"7585626",238525,71801,"7585626",1,0,True
"7585625",71801,65194,"758562",1,0,False
"7585624",186535,65194,"7585624",1,0,True
"7585623",65194,138780,"758562",1,0,False
"7585622",200588,138780,"7585622",1,0,True
"7585621",138780,224765,"758562",1,0,False
"758561",224765,277232,"75856",1,0,False
"7585593",277232,277227,"758",1,0,False
"7585592",289958,277227,"7585592",1,0,True
"7585591",277227,277217,"758",1,0,False
"7585589",158785,200751,"758558",1,0,True
"7585588",186513,200751,"7585588",1,0,True
"7585587",200751,200750,"758558",1,0,False
"7585586",156724,200750,"7585586",1,0,True
